146348,-0.02,0.01,1.01,1.46,-0.55,-1.53
146358,-0.03,0.00,1.01,1.34,0.00,-3.36
146368,-0.03,0.01,1.01,-0.31,0.24,0.12
146378,-0.02,0.01,1.01,0.85,-0.49,-1.53
146388,-0.03,0.01,1.00,0.12,-0.61,0.24
146398,-0.02,0.01,1.01,1.77,-0.31,-1.16
146408,-0.02,0.01,1.00,-0.79,-0.61,1.22
146418,-0.03,0.01,1.00,-0.49,-0.18,0.92
146428,-0.03,0.01,1.00,-1.10,-0.55,1.53
146438,-0.03,0.01,1.00,-0.67,0.37,0.61
146448,-0.02,0.01,1.00,0.37,0.00,-0.12
146458,-0.03,0.01,1.01,-0.06,-0.31,1.28
146468,-0.02,0.01,1.01,1.04,0.24,-0.85
146478,-0.02,0.01,1.00,-0.12,-0.06,0.18
146488,-0.03,0.01,1.01,0.79,0.79,-1.34
146498,-0.03,0.01,1.00,-0.37,0.43,0.79
146508,-0.03,0.01,1.01,0.43,0.00,-1.95
146518,-0.03,0.01,1.00,-0.55,0.79,-1.22
146528,-0.03,0.01,1.01,1.40,-0.31,-1.40
146538,-0.03,0.01,1.01,1.28,0.49,-2.32
146548,-0.03,0.01,1.00,-0.31,-1.04,0.43
146558,-0.03,0.01,1.00,0.73,0.73,-1.59
146568,-0.02,0.01,1.00,0.67,0.12,0.43
146578,-0.02,0.01,1.01,0.98,-0.55,-2.38
146588,-0.03,0.02,1.00,-1.22,-0.55,2.75
146598,-0.03,0.01,1.01,0.18,-0.24,-0.79
146608,-0.02,0.01,1.01,-1.53,-0.49,1.71
146618,-0.03,0.01,1.00,-0.43,0.06,0.24
146628,-0.02,0.01,1.01,-0.61,-0.18,-0.31
146638,-0.02,0.01,1.01,-0.55,0.06,1.10
146648,-0.02,0.02,1.00,0.00,0.67,-0.92
146658,-0.02,0.02,1.00,-0.18,-0.31,0.24
146668,-0.03,0.00,1.01,1.10,0.00,-1.46
146678,-0.02,0.00,1.01,0.00,0.43,0.55
146688,-0.03,0.01,1.00,0.67,-0.24,-1.40
146698,-0.03,0.01,1.00,0.06,-0.31,-0.06
146708,-0.02,0.02,1.00,-2.26,-0.43,2.26
146718,-0.03,0.01,1.01,0.43,0.31,-0.73
146728,-0.02,0.01,1.00,0.37,0.37,-0.06
146738,-0.03,0.02,1.01,0.79,0.31,-2.20
146748,-0.03,0.01,1.00,0.37,-0.67,-0.61
146758,-0.02,0.01,1.00,0.85,0.06,-1.95
146768,-0.02,0.01,1.00,-1.10,-0.12,1.83
146778,-0.03,0.01,1.00,0.00,-0.49,0.37
146788,-0.02,0.01,1.00,0.85,0.06,0.43
146798,-0.03,0.01,1.00,0.73,0.12,-0.31
146808,-0.02,0.01,1.01,0.31,-0.49,0.85
146818,-0.02,0.01,1.01,-0.31,-0.37,1.40
146828,-0.03,0.01,1.01,0.61,1.10,-1.59
146838,-0.03,0.01,1.00,-0.49,0.06,0.73
146848,-0.03,0.01,1.00,1.04,0.31,-1.89
